flight_status,flight_status_raw,has_filtered_state,sensor_timestamp,sensor_altitude_feet,sensor_accel_bno_x,sensor_accel_bno_y,sensor_accel_bno_z,sensor_accel_icm_x,sensor_accel_icm_y,sensor_accel_icm_z,sensor_quat_w,sensor_quat_x,sensor_quat_y,sensor_quat_z,sensor_gyro_x,sensor_gyro_y,sensor_gyro_z,sensor_has_quaternion,state_time,state_position_x,state_position_y,state_position_z,state_velocity_x,state_velocity_y,state_velocity_z,state_acceleration_x,state_acceleration_y,state_acceleration_z,state_inertial_acceleration_x,state_inertial_acceleration_y,state_inertial_acceleration_z,state_zenith,state_apogee_estimate
ground,0,True,163.77719116210938,630.60888671875,11.8046875,0.68359375,-0.73046875,11.8046875,0.68359375,-0.73046875,-0.5431073307991028,0.4238409996032715,-0.601275622844696,-0.4047974646091461,0.193359375,0.41015625,0.083984375,True,163.77719116210938,nan,nan,192.2095947265625,nan,nan,-64.22808074951172,nan,nan,1.9990264177322388,-0.7134830355644226,0.68359375,1.999026894569397,1.6532354354858398,0.0
ground,0,True,163.7803497314453,630.60888671875,11.8046875,0.68359375,-0.73046875,11.8046875,0.68359375,-0.73046875,-0.5431073307991028,0.4238409996032715,-0.601275622844696,-0.4047974646091461,0.212890625,0.38671875,0.21484375,True,163.7803497314453,nan,nan,192.2095947265625,nan,nan,-1.5816421508789062,nan,nan,1.9990261793136597,-0.7134830355644226,0.68359375,1.999026894569397,1.6532354354858398,0.0
ground,0,True,163.78341674804688,630.8428955078125,11.8046875,0.68359375,-0.73046875,11.8046875,0.68359375,-0.73046875,-0.5443065166473389,0.4232749342918396,-0.6006414890289307,-0.40472039580345154,0.212890625,0.38671875,0.21484375,True,163.78341674804688,nan,nan,192.28091430664062,nan,nan,22.94724464416504,nan,nan,1.9989960193634033,-0.7139962315559387,0.68359375,1.9989957809448242,1.6507447957992554,0.0
ground,0,True,163.78660583496094,630.8428955078125,11.8046875,0.68359375,-0.73046875,11.8046875,0.68359375,-0.73046875,-0.5443065166473389,0.4232749342918396,-0.6006414890289307,-0.40472039580345154,0.212890625,0.37109375,0.349609375,True,163.78660583496094,nan,nan,192.28091430664062,nan,nan,0.4356098175048828,nan,nan,1.9989960193634033,-0.7139962315559387,0.68359375,1.9989957809448242,1.6507447957992554,0.0
ground,0,True,163.78968811035156,628.3202514648438,11.8046875,0.68359375,-0.73046875,11.8046875,0.68359375,-0.73046875,-0.5450374484062195,0.4230906665325165,-0.600273609161377,-0.4044751524925232,0.212890625,0.37109375,0.349609375,True,163.78968811035156,nan,nan,191.5120086669922,nan,nan,-249.5458221435547,nan,nan,1.9989783763885498,-0.7142435312271118,0.68359375,1.9989805221557617,1.649544596672058,0.0
ground,0,True,163.79286193847656,628.3202514648438,11.8046875,0.68359375,-0.73046875,11.8046875,0.68359375,-0.73046875,-0.5450374484062195,0.4230906665325165,-0.600273609161377,-0.4044751524925232,0.23046875,0.34765625,0.482421875,True,163.79286193847656,nan,nan,191.5120086669922,nan,nan,-1.60064697265625,nan,nan,1.998977780342102,-0.7142435312271118,0.68359375,1.9989805221557617,1.649544596672058,0.0
ground,0,True,163.79666137695312,629.0050659179688,11.8046875,0.68359375,-0.73046875,11.8046875,0.68359375,-0.73046875,-0.5465143918991089,0.4230390191078186,-0.5993713736534119,-0.4038737714290619,0.23046875,0.34765625,0.482421875,True,163.79666137695312,nan,nan,191.7207489013672,nan,nan,55.124019622802734,nan,nan,1.9989527463912964,-0.7147088050842285,0.68359375,1.9989522695541382,1.6472865343093872,0.0
ground,0,True,163.79981994628906,629.0050659179688,17.83984375,0.60546875,-1.55078125,17.83984375,0.60546875,-1.55078125,-0.5465143918991089,0.4230390191078186,-0.5993713736534119,-0.4038737714290619,0.23046875,0.34765625,0.482421875,True,163.79981994628906,nan,nan,191.720703125,nan,nan,2088.4072265625,nan,nan,8.035118103027344,-1.5269635915756226,0.60546875,8.035198211669922,1.6472865343093872,0.0
ground,0,True,163.8029022216797,627.808837890625,17.83984375,0.60546875,-1.55078125,17.83984375,0.60546875,-1.55078125,-0.5465143918991089,0.4230390191078186,-0.5993713736534119,-0.4038737714290619,0.244140625,0.3046875,0.650390625,True,163.8029022216797,nan,nan,191.35614013671875,nan,nan,-120.0234375,nan,nan,8.035181045532227,-1.5269635915756226,0.60546875,8.035198211669922,1.6472865343093872,0.0
ground,0,True,163.8060302734375,627.808837890625,17.83984375,0.60546875,-1.55078125,17.83984375,0.60546875,-1.55078125,-0.5491339564323425,0.4236455261707306,-0.5976569652557373,-0.4022221565246582,0.244140625,0.3046875,0.650390625,True,163.8060302734375,nan,nan,191.35614013671875,nan,nan,2.8757553100585938,nan,nan,8.035113334655762,-1.5279251337051392,0.60546875,8.035115242004395,1.6441987752914429,0.0
ground,0,True,163.80908203125,627.808837890625,17.83984375,0.60546875,-1.55078125,17.83984375,0.60546875,-1.55078125,-0.5491339564323425,0.4236455261707306,-0.5976569652557373,-0.4022221565246582,0.25390625,0.2890625,0.69921875,True,163.80908203125,nan,nan,191.35614013671875,nan,nan,0.011870145797729492,nan,nan,8.035115242004395,-1.5279251337051392,0.60546875,8.035115242004395,1.6441987752914429,0.0
ground,0,True,163.812255859375,628.5716552734375,17.83984375,0.60546875,-1.55078125,17.83984375,0.60546875,-1.55078125,-0.5500028729438782,0.4238397479057312,-0.5971233248710632,-0.40162232518196106,0.25390625,0.2890625,0.69921875,True,163.812255859375,nan,nan,191.58863830566406,nan,nan,74.12650299072266,nan,nan,8.035090446472168,-1.5282199382781982,0.60546875,8.035091400146484,1.6432520151138306,0.0
ground,0,True,163.81553649902344,628.5716552734375,17.83984375,0.60546875,-1.55078125,17.83984375,0.60546875,-1.55078125,-0.5500028729438782,0.4238397479057312,-0.5971233248710632,-0.40162232518196106,0.265625,0.22265625,0.640625,True,163.81553649902344,nan,nan,191.58863830566406,nan,nan,-0.6501541137695312,nan,nan,8.035090446472168,-1.5282199382781982,0.60546875,8.035091400146484,1.6432520151138306,0.0
ground,0,True,163.81875610351562,628.0081787109375,17.83984375,0.60546875,-1.55078125,17.83984375,0.60546875,-1.55078125,-0.5533372163772583,0.4248599410057068,-0.5950846672058105,-0.39898139238357544,0.265625,0.22265625,0.640625,True,163.81875610351562,nan,nan,191.41690063476562,nan,nan,-54.48971176147461,nan,nan,8.035008430480957,-1.5291974544525146,0.60546875,8.03500747680664,1.6401128768920898,0.0
ground,0,True,163.822021484375,628.0081787109375,17.83984375,0.60546875,-1.55078125,17.83984375,0.60546875,-1.55078125,-0.5533372163772583,0.4248599410057068,-0.5950846672058105,-0.39898139238357544,0.27734375,0.208984375,0.544921875,True,163.822021484375,nan,nan,191.41690063476562,nan,nan,-0.45611572265625,nan,nan,8.03500747680664,-1.5291974544525146,0.60546875,8.03500747680664,1.6401128768920898,0.0
ground,0,True,163.83026123046875,628.224853515625,17.83984375,0.60546875,-1.55078125,17.83984375,0.60546875,-1.55078125,-0.5539601445198059,0.4249916970729828,-0.5947320461273193,-0.3985022008419037,0.27734375,0.208984375,0.544921875,True,163.83026123046875,nan,nan,191.48294067382812,nan,nan,8.052313804626465,nan,nan,8.034991264343262,-1.5293887853622437,0.60546875,8.034991264343262,1.6394985914230347,0.0
burn,1,True,164.0343780517578,632.984130859375,17.83984375,0.60546875,-1.55078125,17.83984375,0.60546875,-1.55078125,-0.5539601445198059,0.4249916970729828,-0.5947320461273193,-0.3985022008419037,0.291015625,0.138671875,0.130859375,True,164.0343780517578,nan,nan,192.93356323242188,nan,nan,7.925435543060303,nan,nan,8.034991264343262,-1.5293887853622437,0.60546875,8.034991264343262,1.6394985914230347,0.0
burn,1,True,164.03758239746094,632.984130859375,17.83984375,0.60546875,-1.55078125,17.83984375,0.60546875,-1.55078125,-0.5576126575469971,0.424679160118103,-0.5935010313987732,-0.39556562900543213,0.291015625,0.138671875,0.130859375,True,164.03758239746094,nan,nan,192.93524169921875,nan,nan,7.547770023345947,nan,nan,8.037968635559082,-1.529249668121338,0.60546875,8.035003662109375,1.639945387840271,0.0
burn,1,True,164.0344696044922,632.8020629882812,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,164.0344696044922,nan,nan,192.8129119873047,nan,nan,2739.1181640625,nan,nan,-7.5024871826171875,0.0,0.0,-9.806699752807617,1.639945387840271,0.0
burn,1,True,164.04042053222656,632.93212890625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,164.04042053222656,nan,nan,192.917724609375,nan,nan,-32.06591796875,nan,nan,-9.806634902954102,0.0,0.0,-9.806699752807617,1.639945387840271,0.0
burn,1,True,164.0491485595703,632.93212890625,17.83984375,0.60546875,-1.55078125,17.83984375,0.60546875,-1.55078125,-0.5576126575469971,0.424679160118103,-0.5935010313987732,-0.39556562900543213,0.064453125,-0.435546875,-0.431640625,True,164.0491485595703,nan,nan,192.92259216308594,nan,nan,-15333.3837890625,nan,nan,7.972900390625,-1.5304332971572876,0.60546875,8.03490161895752,1.6361440420150757,0.0
burn,1,True,164.05201721191406,632.93212890625,17.83984375,0.60546875,-1.55078125,17.83984375,0.60546875,-1.55078125,-0.536309540271759,0.4023999869823456,-0.6301194429397583,-0.39165791869163513,0.064453125,-0.435546875,-0.431640625,True,164.05201721191406,nan,nan,192.91770935058594,nan,nan,2.369140625,nan,nan,8.034860610961914,-1.5308220386505127,0.60546875,8.034868240356445,1.634895920753479,0.0
burn,1,True,164.055419921875,632.8540649414062,17.83984375,0.60546875,-1.55078125,17.83984375,0.60546875,-1.55078125,-0.536309540271759,0.4023999869823456,-0.6301194429397583,-0.39165791869163513,0.064453125,-0.4296875,-0.41796875,True,164.055419921875,nan,nan,192.8939208984375,nan,nan,-2.7195725440979004,nan,nan,8.034828186035156,-1.531278133392334,0.60546875,8.034829139709473,1.6334309577941895,0.0
burn,1,True,164.058349609375,632.8540649414062,17.83984375,0.60546875,-1.55078125,17.83984375,0.60546875,-1.55078125,-0.5352646708488464,0.40202832221984863,-0.6312094926834106,-0.3917136490345001,0.064453125,-0.4296875,-0.41796875,True,164.058349609375,nan,nan,192.8939208984375,nan,nan,0.010349035263061523,nan,nan,8.034794807434082,-1.5316698551177979,0.60546875,8.034794807434082,1.6321731805801392,0.0
burn,1,True,164.0612030029297,632.7327270507812,4.09765625,-0.171875,-0.59375,4.09765625,-0.171875,-0.59375,-0.5352646708488464,0.40202832221984863,-0.6312094926834106,-0.3917136490345001,0.064453125,-0.4296875,-0.41796875,True,164.0612030029297,nan,nan,192.85670471191406,nan,nan,22472.361328125,nan,nan,-5.703922271728516,-0.5894479155540466,-0.171875,-5.708422660827637,1.630946159362793,0.0
burn,1,True,164.06410217285156,632.7327270507812,4.09765625,-0.171875,-0.59375,4.09765625,-0.171875,-0.59375,-0.5352646708488464,0.40202832221984863,-0.6312094926834106,-0.3917136490345001,0.04296875,-0.40234375,-0.37109375,True,164.06410217285156,nan,nan,192.85693359375,nan,nan,3.173828125,nan,nan,-5.708433151245117,-0.589531660079956,-0.171875,-5.708434581756592,1.6297755241394043,0.0
burn,1,True,164.06689453125,632.4813232421875,4.09765625,-0.171875,-0.59375,4.09765625,-0.171875,-0.59375,-0.5351055264472961,0.4020463526248932,-0.631359875202179,-0.3916701674461365,0.04296875,-0.40234375,-0.37109375,True,164.06689453125,nan,nan,192.78030395507812,nan,nan,-17.238420486450195,nan,nan,-5.70844841003418,-0.589611828327179,-0.171875,-5.708446502685547,1.628653883934021,0.0
burn,1,True,164.07008361816406,632.4813232421875,4.09765625,-0.171875,-0.59375,4.09765625,-0.171875,-0.59375,-0.5351055264472961,0.4020463526248932,-0.631359875202179,-0.3916701674461365,0.041015625,-0.388671875,-0.29296875,True,164.07008361816406,nan,nan,192.78030395507812,nan,nan,-0.009622573852539062,nan,nan,-5.70845890045166,-0.58970046043396,-0.171875,-5.70845890045166,1.6274155378341675,0.0
burn,1,True,164.0731964111328,632.4813232421875,4.09765625,-0.171875,-0.59375,4.09765625,-0.171875,-0.59375,-0.5330694913864136,0.4016026258468628,-0.6334090828895569,-0.3915930688381195,0.041015625,-0.388671875,-0.29296875,True,164.0731964111328,nan,nan,192.78030395507812,nan,nan,-0.007017252966761589,nan,nan,-5.708471298217773,-0.5897873044013977,-0.171875,-5.708471298217773,1.6262011528015137,0.0
burn,1,True,164.0762939453125,632.489990234375,4.09765625,-0.171875,-0.59375,4.09765625,-0.171875,-0.59375,-0.5330694913864136,0.4016026258468628,-0.6334090828895569,-0.3915930688381195,0.048828125,-0.361328125,-0.240234375,True,164.0762939453125,nan,nan,192.782958984375,nan,nan,0.8467944264411926,nan,nan,-5.70848274230957,-0.5898674726486206,-0.171875,-5.70848274230957,1.625079870223999,0.0
burn,1,True,164.07949829101562,632.489990234375,4.09765625,-0.171875,-0.59375,4.09765625,-0.171875,-0.59375,-0.5324857831001282,0.4015006422996521,-0.6339901685714722,-0.3915516436100006,0.048828125,-0.361328125,-0.240234375,True,164.07949829101562,nan,nan,192.782958984375,nan,nan,0.4104911983013153,nan,nan,-5.708494663238525,-0.5899505019187927,-0.171875,-5.708494663238525,1.6239200830459595,0.0
burn,1,True,164.08265686035156,632.663330078125,4.09765625,-0.171875,-0.59375,4.09765625,-0.171875,-0.59375,-0.5324857831001282,0.4015006422996521,-0.6339901685714722,-0.3915516436100006,0.0390625,-0.34765625,-0.16015625,True,164.08265686035156,nan,nan,192.83578491210938,nan,nan,16.712446212768555,nan,nan,-5.708506107330322,-0.5900290608406067,-0.171875,-5.708506107330322,1.6228209733963013,0.0
burn,1,True,164.08584594726562,632.663330078125,4.09765625,-0.171875,-0.59375,4.09765625,-0.171875,-0.59375,-0.5316228866577148,0.4014942944049835,-0.6348345875740051,-0.3913623094558716,0.0390625,-0.34765625,-0.16015625,True,164.08584594726562,nan,nan,192.83578491210938,nan,nan,8.847536087036133,nan,nan,-5.708518981933594,-0.5901085138320923,-0.171875,-5.708518028259277,1.6217106580734253,0.0
burn,1,True,164.08892822265625,632.0565185546875,4.09765625,-0.171875,-0.59375,4.09765625,-0.171875,-0.59375,-0.5316228866577148,0.4014942944049835,-0.6348345875740051,-0.3913623094558716,0.041015625,-0.32421875,-0.044921875,True,164.08892822265625,nan,nan,192.6508331298828,nan,nan,-60.01409149169922,nan,nan,-5.708527565002441,-0.5901798605918884,-0.171875,-5.708527565002441,1.620713233947754,0.0
burn,1,True,164.0920867919922,632.0565185546875,4.09765625,-0.171875,-0.59375,4.09765625,-0.171875,-0.59375,-0.5305257439613342,0.40167853236198425,-0.6359350681304932,-0.3908751606941223,0.041015625,-0.32421875,-0.044921875,True,164.0920867919922,nan,nan,192.6508331298828,nan,nan,-28.277202606201172,nan,nan,-5.708535194396973,-0.5902533531188965,-0.171875,-5.70853853225708,1.6196858882904053,0.0
burn,1,True,164.0951690673828,632.0565185546875,4.09765625,-0.171875,-0.59375,4.09765625,-0.171875,-0.59375,-0.5305257439613342,0.40167853236198425,-0.6359350681304932,-0.3908751606941223,0.037109375,-0.3046875,0.009765625,True,164.0951690673828,nan,nan,192.6508331298828,nan,nan,-0.0063495635986328125,nan,nan,-5.708548069000244,-0.5903205871582031,-0.171875,-5.708548069000244,1.61874520778656,0.0
burn,1,True,164.0982666015625,632.0999145507812,4.09765625,-0.171875,-0.59375,4.09765625,-0.171875,-0.59375,-0.5299171805381775,0.4019851088523865,-0.6365476250648499,-0.39038822054862976,0.037109375,-0.3046875,0.009765625,True,164.0982666015625,nan,nan,192.6640625,nan,nan,2.19148850440979,nan,nan,-5.70855712890625,-0.5903882384300232,-0.171875,-5.708557605743408,1.6177997589111328,0.0